Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"NORTH EAST CONFERENCE OF OP &CM 165 DIVISION STREET N. TONAWNDS, NY 14120",250.00,25-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"NORTHEAST CONF OF OP&CM 167 DIVISION STREET N.TONAWANDS, NY 14120",200.00,13-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"NORTHEASTERN PAC NEPAC PO BOX 8067 UTICA, NY 13505",250.00,30-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"NORTHEND TRATTORIA 1458 HERTEL AFVENUE BUFFALO NY, NY 14216",100.00,27-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"NY, MASS,&RI STATE CONF. 165 DIVISION STREET N. TONAWANDA, NY 14120",200.00,13-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"NYS LABORERS 18 CORPORATE WOODS BLVD ALBANY, NY 12211",500.00,30-JUL-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"O'BRIEN BOYD P.C. 40 NORTH FOREST ROAD WILLIAMSVILLE, NY 14221",500.00,19-JUL-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,B,City Council,N/A
"OP CMIA LOCAL 29 130 CENTRAL AVE JERSEY CITY, NJ 07306",300.00,13-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"OPERATIVE PLASTERS AND CEMENT MASONS  130 CENTRAL AVE JERSEY CITY, NJ 07306",500.00,08-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"PAC PBA 75 FRANKLIN STREET BUFFALO, NY 14202",125.00,13-JUN-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,C,City Council,N/A
"PHILLIPS LYTLE 3400 HSBC TOWER BUFFALO, NY 14202",250.00,04-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"PLASTEERS AND CEMENT MASONS LOCAL #111 165 NORTH DIVISION STREET NORTH TONAWANDA, NY 14120",300.00,10-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,C,City Council,N/A
"PLASTERERS AND CEMENT MASONS LOCAL UNION #111 165 DIVISION STREET NORTH TONAWANDS, NY 14120",198.00,11-JUN-09,FRIENDS OF MIKE LOCURTO,2009 July Periodic,C,City Council,N/A
"PLASTERS &CEMENT MASONS LOCAL 111 165 DIVISION STREET N.TONAWANDS, NY 14120",300.00,01-JUN-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"PLASTERS AND CEMENT MASONS 165 DIVISION STREET BUFFALO, NY 14120",250.00,29-MAY-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,C,City Council,N/A
